,PRIMARY_KEY,STATE,YEAR,ENROLL,TOTAL_REVENUE,FEDERAL_REVENUE,STATE_REVENUE,LOCAL_REVENUE,TOTAL_EXPENDITURE,INSTRUCTION_EXPENDITURE,SUPPORT_SERVICES_EXPENDITURE,OTHER_EXPENDITURE,CAPITAL_OUTLAY_EXPENDITURE,AVG_MATH_4_SCORE,AVG_MATH_8_SCORE,AVG_READING_4_SCORE,AVG_READING_8_SCORE,AVG_SCORE,POPULATION,GDP,GDP_PER_CAPITA
108,2003_MONTANA,MONTANA,2003,149801.0,1205602.0,171819.0,553269.0,480514.0,1214879.0,687104.0,384824.0,48570.0,75983.0,236.0,286.0,223.0,270.0,253.75,919630,33860.3,0.036819481748094345
109,2003_NEBRASKA,NEBRASKA,2003,283934.0,2600831.0,225861.0,878715.0,1496255.0,2623966.0,1414919.0,683210.0,112145.0,329746.0,236.0,282.0,221.0,266.0,251.25,1738643,84099.1,0.04837053955297321
110,2003_NEVADA,NEVADA,2003,369498.0,2778564.0,191839.0,1663026.0,923699.0,3009028.0,1406660.0,767835.0,88985.0,576610.0,228.0,268.0,207.0,252.0,238.75,2248850,115128.3,0.051194299308535474
111,2003_NEW_HAMPSHIRE,NEW_HAMPSHIRE,2003,203702.0,2028602.0,101294.0,957471.0,969837.0,2122604.0,1119824.0,570036.0,60830.0,214807.0,243.0,286.0,228.0,271.0,257.0,1279840,61610.0,0.04813882985373172
112,2003_NEW_JERSEY,NEW_JERSEY,2003,1350330.0,19785039.0,797717.0,8135014.0,10852308.0,19812932.0,10169992.0,6429003.0,677268.0,1626453.0,239.0,281.0,225.0,268.0,253.25,8601402,499353.6,0.05805490779293887
113,2003_NEW_MEXICO,NEW_MEXICO,2003,320264.0,2626262.0,383513.0,1905419.0,337330.0,2658140.0,1239571.0,851701.0,131177.0,399406.0,223.0,263.0,203.0,252.0,235.25,1877574,77088.4,0.04105744966643125
114,2003_NEW_YORK,NEW_YORK,2003,2879228.0,38033080.0,2591430.0,17509618.0,17932032.0,41603390.0,24786376.0,10000845.0,1156927.0,4489672.0,236.0,280.0,222.0,265.0,250.75,19175939,1101603.6,0.057447178988210175
115,2003_NORTH_CAROLINA,NORTH_CAROLINA,2003,1314632.0,9907235.0,888996.0,5970302.0,3047937.0,9989670.0,5517870.0,2721749.0,528694.0,940500.0,242.0,281.0,221.0,262.0,251.5,8422501,374588.0,0.04447467563375772
116,2003_NORTH_DAKOTA,NORTH_DAKOTA,2003,103785.0,882913.0,126023.0,306647.0,450243.0,895278.0,448720.0,239435.0,60008.0,81014.0,238.0,287.0,222.0,270.0,254.25,638817,27996.7,0.04382585310034016
117,2003_OHIO,OHIO,2003,1803966.0,18018740.0,1097349.0,7844992.0,9076399.0,18760200.0,8958790.0,6097596.0,800930.0,2324140.0,238.0,282.0,222.0,267.0,252.25,11434788,522440.1,0.04568865640534831
118,2003_OKLAHOMA,OKLAHOMA,2003,624202.0,4426835.0,563974.0,2272785.0,1590076.0,4376502.0,2158574.0,1402007.0,453806.0,307213.0,229.0,272.0,214.0,262.0,244.25,3504892,132931.1,0.03792730275283804
119,2003_OREGON,OREGON,2003,552135.0,4592019.0,407432.0,2348070.0,1836517.0,4978764.0,2458415.0,1546156.0,175667.0,606048.0,236.0,281.0,218.0,264.0,249.75,3547376,145500.1,0.041016261033507584
120,2003_PENNSYLVANIA,PENNSYLVANIA,2003,1757066.0,19811545.0,1419644.0,6912678.0,11479223.0,20626459.0,10151195.0,5765734.0,810211.0,1848552.0,236.0,279.0,219.0,264.0,249.5,12374658,561781.4,0.045397731395889894
121,2003_RHODE_ISLAND,RHODE_ISLAND,2003,157286.0,1728055.0,109011.0,713197.0,905847.0,1646238.0,971700.0,525727.0,64258.0,31360.0,230.0,272.0,216.0,261.0,244.75,1071342,49348.1,0.04606194847210321
122,2003_SOUTH_CAROLINA,SOUTH_CAROLINA,2003,691736.0,5709707.0,535356.0,2761951.0,2412400.0,6024747.0,2888468.0,1731328.0,324241.0,865462.0,236.0,277.0,215.0,258.0,246.5,4150297,160100.1,0.03857557663945496
123,2003_SOUTH_DAKOTA,SOUTH_DAKOTA,2003,127632.0,965778.0,148498.0,328576.0,488704.0,993823.0,499480.0,295468.0,42694.0,122247.0,237.0,285.0,222.0,270.0,253.5,763729,33381.1,0.043708043036207865
124,2003_TENNESSEE,TENNESSEE,2003,905050.0,5994756.0,608447.0,2648909.0,2737400.0,6482671.0,3621601.0,1716956.0,341055.0,635950.0,228.0,268.0,212.0,258.0,241.5,5847812,247175.6,0.04226804828883008
125,2003_TEXAS,TEXAS,2003,4201914.0,35143236.0,3360082.0,13675228.0,18107926.0,37333674.0,18009879.0,10264033.0,1731131.0,4764154.0,237.0,277.0,215.0,259.0,247.0,22030931,1048182.1,0.04757774875696356
126,2003_UTAH,UTAH,2003,483066.0,2875622.0,263030.0,1607204.0,1005388.0,2957874.0,1508566.0,705128.0,205147.0,469251.0,235.0,281.0,219.0,264.0,249.75,2360137,97639.9,0.04137043739410042
127,2003_VERMONT,VERMONT,2003,94901.0,1451171.0,79956.0,779124.0,592091.0,1440961.0,662999.0,345187.0,32289.0,46411.0,242.0,286.0,226.0,271.0,256.25,617858,25293.8,0.04093788540408961
128,2003_VIRGINIA,VIRGINIA,2003,1175458.0,10504167.0,698716.0,4087720.0,5717731.0,10746679.0,5661291.0,3184333.0,425933.0,1069375.0,239.0,282.0,223.0,268.0,253.0,7366977,376191.2,0.051064527553160544
