,PRIMARY_KEY,STATE,YEAR,ENROLL,TOTAL_REVENUE,FEDERAL_REVENUE,STATE_REVENUE,LOCAL_REVENUE,TOTAL_EXPENDITURE,INSTRUCTION_EXPENDITURE,SUPPORT_SERVICES_EXPENDITURE,OTHER_EXPENDITURE,CAPITAL_OUTLAY_EXPENDITURE,AVG_MATH_4_SCORE,AVG_MATH_8_SCORE,AVG_READING_4_SCORE,AVG_READING_8_SCORE,POPULATION,GDP,GDP_PER_CAPITA
28,2000_NEW_HAMPSHIRE,NEW_HAMPSHIRE,2000,203178.0,1586869.0,54657.0,865318.0,666894.0,1640395.0,902062.0,445733.0,49746.0,130011.0,,,,,1239882,56718.8,0.045745320925700994
29,2000_NEW_JERSEY,NEW_JERSEY,2000,1279542.0,15651060.0,578978.0,6093162.0,8978920.0,15907248.0,8244717.0,5041897.0,568802.0,1320024.0,,,,,8430621,472786.5,0.05607967669285572
30,2000_NEW_MEXICO,NEW_MEXICO,2000,324489.0,2191695.0,296222.0,1571088.0,324385.0,2165031.0,1048533.0,727644.0,101479.0,255735.0,213.0,259.0,,,1821204,71960.2,0.039512432434806864
31,2000_NEW_YORK,NEW_YORK,2000,2861478.0,31906526.0,1938590.0,13766358.0,16201578.0,33683043.0,19856637.0,8377510.0,1057876.0,3266115.0,225.0,271.0,,,19001780,1084844.3,0.05709171982835293
32,2000_NORTH_CAROLINA,NORTH_CAROLINA,2000,1261586.0,9064700.0,622184.0,5897936.0,2544580.0,9275837.0,4854623.0,2356589.0,479183.0,1385226.0,230.0,276.0,,,8081614,357823.8,0.04427627946595816
33,2000_NORTH_DAKOTA,NORTH_DAKOTA,2000,112349.0,812982.0,96940.0,303132.0,412910.0,802768.0,402602.0,204117.0,55808.0,81274.0,230.0,282.0,,,642023,24653.3,0.038399403136647754
34,2000_OHIO,OHIO,2000,1822566.0,15327834.0,843432.0,6425872.0,8058530.0,14909952.0,7497388.0,4889221.0,725617.0,1378528.0,230.0,281.0,,,11363543,509601.7,0.044845318049133095
35,2000_OKLAHOMA,OKLAHOMA,2000,627032.0,3906833.0,377776.0,2162799.0,1366258.0,3876871.0,1928222.0,1226386.0,387753.0,286261.0,224.0,270.0,,,3454365,124234.5,0.03596449709280866
36,2000_OREGON,OREGON,2000,542739.0,4369400.0,268568.0,2457202.0,1643630.0,4398318.0,2288931.0,1433944.0,148604.0,391189.0,224.0,280.0,,,3429708,137819.7,0.04018409147367648
37,2000_PENNSYLVANIA,PENNSYLVANIA,2000,1782444.0,17090654.0,1022578.0,6163912.0,9904164.0,17861852.0,8818088.0,4887123.0,681741.0,1851099.0,,,,,12284173,538013.6,0.043797299175125586
