,0,2000_NAs,2001_NAs,2002_NAs,2003_NAs,2004_NAs,2005_NAs,2006_NAs,2007_NAs,2008_NAs,2009_NAs,2010_NAs,2011_NAs,2012_NAs,2013_NAs,2014_NAs,2015_NAs,2016_NAs,2017_NAs,2018_NAs
88,G05_AS_F,53,51,53,53,51,53,51,53,51,2,0,2,0,2,0,2,0,53,0
89,G05_AS_M,53,51,53,53,51,53,51,53,51,2,0,2,0,2,0,2,0,53,0
90,G05_BL_F,53,51,53,53,51,53,51,53,51,2,0,2,0,2,0,2,0,53,0
91,G05_BL_M,53,51,53,53,51,53,51,53,51,2,0,2,0,2,0,2,0,53,0
92,G05_HI_F,53,51,53,53,51,53,51,53,51,2,0,2,0,2,0,2,0,53,0
93,G05_HI_M,53,51,53,53,51,53,51,53,51,2,0,2,0,2,0,2,0,53,0
94,G05_HP_F,53,51,53,53,51,53,51,53,51,41,1,2,0,3,1,5,0,53,0
95,G05_HP_M,53,51,53,53,51,53,51,53,51,39,2,2,0,3,1,3,0,53,0
96,G05_TR_F,53,51,53,53,51,53,51,53,51,39,0,2,0,2,0,2,0,53,0
97,G05_TR_M,53,51,53,53,51,53,51,53,51,39,0,2,0,2,0,2,0,53,0
98,G05_WH_F,53,51,53,53,51,53,51,53,51,2,0,2,0,2,0,2,0,53,0
99,G05_WH_M,53,51,53,53,51,53,51,53,51,2,0,2,0,2,0,2,0,53,0
100,G06_AM_F,53,51,53,53,51,53,51,53,51,2,0,2,0,2,0,2,0,53,0
101,G06_AM_M,53,51,53,53,51,53,51,53,51,2,0,2,1,2,0,2,0,53,0
102,G06_AS_F,53,51,53,53,51,53,51,53,51,2,0,2,0,2,0,2,0,53,0
103,G06_AS_M,53,51,53,53,51,53,51,53,51,2,0,2,0,2,0,2,0,53,0
104,G06_BL_F,53,51,53,53,51,53,51,53,51,2,0,2,0,2,0,2,0,53,0
105,G06_BL_M,53,51,53,53,51,53,51,53,51,2,0,2,0,2,0,2,0,53,0
106,G06_HI_F,53,51,53,53,51,53,51,53,51,2,0,2,0,2,0,2,0,53,0
107,G06_HI_M,53,51,53,53,51,53,51,53,51,2,0,2,0,2,0,2,0,53,0
108,G06_HP_F,53,51,53,53,51,53,51,53,51,40,2,2,0,3,1,3,1,53,0
109,G06_HP_M,53,51,53,53,51,53,51,53,51,40,1,2,0,3,1,3,0,53,0
110,G06_TR_F,53,51,53,53,51,53,51,53,51,39,0,2,0,2,0,2,0,53,0
111,G06_TR_M,53,51,53,53,51,53,51,53,51,39,0,2,0,2,0,2,0,53,0
112,G06_WH_F,53,51,53,53,51,53,51,53,51,2,0,2,0,2,0,2,0,53,0
113,G06_WH_M,53,51,53,53,51,53,51,53,51,2,0,2,0,2,0,2,0,53,0
114,G07_AM_F,53,51,53,53,51,53,51,53,51,2,0,2,0,2,0,2,0,53,0
115,G07_AM_M,53,51,53,53,51,53,51,53,51,2,1,2,0,2,0,2,0,53,0
116,G07_AS_F,53,51,53,53,51,53,51,53,51,2,0,2,0,2,0,2,0,53,0
117,G07_AS_M,53,51,53,53,51,53,51,53,51,2,0,2,0,2,0,2,0,53,0
118,G07_BL_F,53,51,53,53,51,53,51,53,51,2,0,2,0,2,0,2,0,53,0
119,G07_BL_M,53,51,53,53,51,53,51,53,51,2,0,2,0,2,0,2,0,53,0
120,G07_HI_F,53,51,53,53,51,53,51,53,51,2,0,2,0,2,0,2,0,53,0
121,G07_HI_M,53,51,53,53,51,53,51,53,51,2,0,2,0,2,0,2,0,53,0
122,G07_HP_F,53,51,53,53,51,53,51,53,51,41,1,2,0,3,1,3,0,53,0
123,G07_HP_M,53,51,53,53,51,53,51,53,51,40,3,2,1,3,1,3,0,53,0
124,G07_TR_F,53,51,53,53,51,53,51,53,51,39,0,2,0,2,0,2,0,53,0
125,G07_TR_M,53,51,53,53,51,53,51,53,51,39,0,2,0,2,0,2,0,53,0
126,G07_WH_F,53,51,53,53,51,53,51,53,51,2,0,2,0,2,0,2,0,53,0
127,G07_WH_M,53,51,53,53,51,53,51,53,51,2,0,2,0,2,0,2,0,53,0
128,G08_AM_F,53,51,53,53,51,53,51,53,51,3,0,2,0,2,0,2,0,53,0
129,G08_AM_M,53,51,53,53,51,53,51,53,51,2,0,2,0,2,0,2,0,53,0
130,G08_AS_F,53,51,53,53,51,53,51,53,51,2,0,2,0,2,0,2,0,53,0
131,G08_AS_M,53,51,53,53,51,53,51,53,51,2,0,2,0,2,0,2,0,53,0
132,G08_BL_F,53,51,53,53,51,53,51,53,51,2,0,2,0,2,0,2,0,53,0
133,G08_BL_M,53,51,53,53,51,53,51,53,51,2,0,2,0,2,0,2,0,53,0
134,G08_HI_F,53,51,53,53,51,53,51,53,51,2,0,2,0,2,0,2,0,53,0
135,G08_HI_M,53,51,53,53,51,53,51,53,51,2,0,2,0,2,0,2,0,53,0
136,G08_HP_F,53,51,53,53,51,53,51,53,51,39,2,2,1,3,1,3,0,53,0
137,G08_HP_M,53,51,53,53,51,53,51,53,51,39,1,3,0,3,1,3,0,53,0
138,G08_TR_F,53,51,53,53,51,53,51,53,51,39,0,2,0,2,0,2,0,53,0
139,G08_TR_M,53,51,53,53,51,53,51,53,51,39,0,2,0,2,0,2,0,53,0
140,G08_WH_F,53,51,53,53,51,53,51,53,51,2,0,2,0,2,0,2,0,53,0
141,G08_WH_M,53,51,53,53,51,53,51,53,51,2,0,2,0,2,0,2,0,53,0
142,G09_AM_F,53,51,53,53,51,53,51,53,51,2,0,2,0,2,0,2,0,53,0
143,G09_AM_M,53,51,53,53,51,53,51,53,51,3,0,2,0,2,0,2,0,53,0
144,G09_AS_F,53,51,53,53,51,53,51,53,51,2,0,2,0,2,0,2,0,53,0
145,G09_AS_M,53,51,53,53,51,53,51,53,51,2,0,2,0,2,0,2,0,53,0
146,G09_BL_F,53,51,53,53,51,53,51,53,51,2,0,2,0,2,0,2,0,53,0
147,G09_BL_M,53,51,53,53,51,53,51,53,51,2,0,2,0,2,0,2,0,53,0
148,G09_HI_F,53,51,53,53,51,53,51,53,51,2,0,2,0,2,0,2,0,53,0
149,G09_HI_M,53,51,53,53,51,53,51,53,51,2,0,2,0,2,0,2,0,53,0
150,G09_HP_F,53,51,53,53,51,53,51,53,51,41,2,2,0,4,1,3,0,53,0
151,G09_HP_M,53,51,53,53,51,53,51,53,51,41,1,2,0,3,1,4,0,53,0
152,G09_TR_F,53,51,53,53,51,53,51,53,51,39,0,2,0,2,0,2,0,53,0
153,G09_TR_M,53,51,53,53,51,53,51,53,51,39,0,2,0,2,0,2,0,53,0
154,G09_WH_F,53,51,53,53,51,53,51,53,51,2,0,2,0,2,0,2,0,53,0
155,G09_WH_M,53,51,53,53,51,53,51,53,51,2,0,2,0,2,0,2,0,53,0
156,G10_AM_F,53,51,53,53,51,53,51,53,51,2,0,2,0,2,0,2,0,53,0
