PRIMARY_KEY,STATE,YEAR,ENROLL,TOTAL_REVENUE,FEDERAL_REVENUE,STATE_REVENUE,LOCAL_REVENUE,TOTAL_EXPENDITURE,INSTRUCTION_EXPENDITURE,SUPPORT_SERVICES_EXPENDITURE,OTHER_EXPENDITURE,CAPITAL_OUTLAY_EXPENDITURE,AVG_MATH_4_SCORE,AVG_MATH_8_SCORE,AVG_READING_4_SCORE,AVG_READING_8_SCORE
1992_OREGON,OREGON,1992,,2773959.0,163544.0,788309.0,1822106.0,2898210.0,1556770.0,967075.0,,230464.0,,,,
1992_PENNSYLVANIA,PENNSYLVANIA,1992,,11257252.0,658139.0,4227323.0,6371790.0,11539253.0,6075381.0,3329224.0,,964457.0,224.0,271.0,221.0,
1992_RHODE_ISLAND,RHODE_ISLAND,1992,,883073.0,43545.0,329810.0,509718.0,863404.0,556787.0,265279.0,,14685.0,215.0,266.0,217.0,
1992_SOUTH_CAROLINA,SOUTH_CAROLINA,1992,,2842626.0,249903.0,1350148.0,1242575.0,2922293.0,1544232.0,768292.0,,261644.0,212.0,261.0,210.0,
1992_SOUTH_DAKOTA,SOUTH_DAKOTA,1992,,551668.0,60671.0,147834.0,343163.0,593126.0,320561.0,169697.0,,65568.0,,,,
1992_TENNESSEE,TENNESSEE,1992,,3080490.0,308571.0,1305381.0,1466538.0,3132516.0,1830264.0,799825.0,,232437.0,211.0,259.0,212.0,
1992_TEXAS,TEXAS,1992,,16264180.0,1160185.0,6706959.0,8397036.0,16119084.0,7961379.0,4613884.0,,1833239.0,218.0,265.0,213.0,
1992_UTAH,UTAH,1992,,1555799.0,105349.0,872510.0,577940.0,1547980.0,841552.0,396073.0,,155425.0,224.0,274.0,220.0,
1992_VERMONT,VERMONT,1992,,812377.0,31757.0,204163.0,576457.0,800377.0,386699.0,205777.0,,25781.0,,,,
1992_VIRGINIA,VIRGINIA,1992,,5631293.0,313971.0,2180133.0,3137189.0,5744469.0,2982862.0,1758078.0,,523409.0,221.0,268.0,221.0,
1992_WASHINGTON,WASHINGTON,1992,,4870832.0,263053.0,3467779.0,1140000.0,5360834.0,2587181.0,1518521.0,,855759.0,,,,
1992_WEST_VIRGINIA,WEST_VIRGINIA,1992,,1585099.0,130117.0,1021803.0,433179.0,1587968.0,835186.0,465429.0,,156015.0,215.0,259.0,216.0,
1992_WISCONSIN,WISCONSIN,1992,,4993909.0,217723.0,2205439.0,2570747.0,5181471.0,2914442.0,1490415.0,,416449.0,229.0,278.0,224.0,
1992_WYOMING,WYOMING,1992,,629748.0,31714.0,314216.0,283818.0,624941.0,339953.0,185930.0,,60815.0,225.0,275.0,223.0,
1994_ALABAMA,ALABAMA,1994,730004.0,2970223.0,331823.0,1850894.0,787506.0,3103266.0,1697593.0,826442.0,306977.0,231508.0,,,208.0,
1994_ALASKA,ALASKA,1994,123868.0,1052282.0,134168.0,668229.0,249885.0,1116160.0,516242.0,446458.0,36589.0,98486.0,,,,
1994_ARIZONA,ARIZONA,1994,708482.0,3566586.0,348847.0,1478372.0,1739367.0,3803379.0,1652311.0,1054136.0,183778.0,696618.0,,,206.0,
1994_ARKANSAS,ARKANSAS,1994,312695.0,1393287.0,132108.0,810396.0,450783.0,1445984.0,816270.0,403608.0,75434.0,105349.0,,,209.0,
1994_CALIFORNIA,CALIFORNIA,1994,4120498.0,23440845.0,2095878.0,13175550.0,8169417.0,23012688.0,12443864.0,6754346.0,1615630.0,1916061.0,,,197.0,
1994_COLORADO,COLORADO,1994,549570.0,3061865.0,165539.0,1269532.0,1626794.0,3113755.0,1574164.0,977343.0,95796.0,328219.0,,,213.0,
1994_CONNECTICUT,CONNECTICUT,1994,479522.0,4268860.0,142392.0,1537064.0,2589404.0,4132350.0,2431273.0,1221662.0,150749.0,53083.0,,,222.0,
1994_DELAWARE,DELAWARE,1994,103782.0,705798.0,50572.0,447430.0,207796.0,732323.0,413915.0,217782.0,30320.0,50805.0,,,206.0,
1994_DISTRICT_OF_COLUMBIA,DISTRICT_OF_COLUMBIA,1994,80678.0,735720.0,79432.0,0.0,656288.0,769818.0,351028.0,332951.0,63271.0,22568.0,,,179.0,
1994_FLORIDA,FLORIDA,1994,2039884.0,12315950.0,890498.0,6158417.0,5267035.0,12469073.0,5715125.0,3849613.0,898855.0,1769738.0,,,205.0,
1994_GEORGIA,GEORGIA,1994,1235304.0,6824191.0,449430.0,3473578.0,2901183.0,6597359.0,3509251.0,1862815.0,405376.0,723316.0,,,207.0,
1994_HAWAII,HAWAII,1994,181212.0,1133949.0,77993.0,1025813.0,30143.0,1146267.0,615270.0,322736.0,93482.0,114779.0,,,201.0,
1994_IDAHO,IDAHO,1994,236774.0,949999.0,77626.0,576106.0,296267.0,974781.0,538783.0,273654.0,44562.0,99924.0,,,,
1994_ILLINOIS,ILLINOIS,1994,1875956.0,11309803.0,628532.0,3697747.0,6983524.0,10743708.0,5727974.0,3468903.0,446271.0,508619.0,,,,
1994_INDIANA,INDIANA,1994,963071.0,6121754.0,286351.0,2754602.0,3080801.0,6061435.0,3003825.0,1743788.0,273493.0,551285.0,,,220.0,
1994_IOWA,IOWA,1994,497925.0,2987394.0,139312.0,1339912.0,1508170.0,2974072.0,1551221.0,858078.0,120252.0,195410.0,,,223.0,
1994_KANSAS,KANSAS,1994,457744.0,2700587.0,134686.0,1540727.0,1025174.0,2643192.0,1371720.0,856673.0,156331.0,172340.0,,,,
1994_KENTUCKY,KENTUCKY,1994,490069.0,2491948.0,238630.0,1561340.0,691978.0,2392549.0,1310208.0,761029.0,145930.0,126669.0,,,212.0,
1994_LOUISIANA,LOUISIANA,1994,798312.0,3571864.0,437307.0,1914388.0,1220169.0,3539581.0,1952186.0,1033282.0,270613.0,197625.0,,,197.0,
1994_MAINE,MAINE,1994,211731.0,1357116.0,77393.0,609841.0,669882.0,1338353.0,799103.0,325201.0,72234.0,73376.0,,,228.0,
1994_MARYLAND,MARYLAND,1994,772638.0,5141505.0,258611.0,2002382.0,2880512.0,5187683.0,2812922.0,1673254.0,254041.0,387699.0,,,210.0,
1994_MASSACHUSETTS,MASSACHUSETTS,1994,877384.0,6410757.0,312111.0,2119446.0,3979200.0,6391131.0,3536321.0,1914124.0,189810.0,282757.0,,,223.0,
